Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,09:00,10h 00m,599,39,4.335,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Silver Line Travels,NON A/C Semi Sleeper (2+2),22:00,06:10,08h 10m,599,29,4.329,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
NS Transports,Non A/C Seater / Sleeper (2+1),21:45,06:10,08h 25m,601,26,4.1284,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
DLT BUS,A/C Sleeper (2+1),22:30,07:30,09h 00m,900,17,4.1315,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
P K Travels,A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,750,27,4.615,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
NS Transports,VE A/C Sleeper (2+1),22:45,07:30,08h 45m,879,27,4.1294,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
NS Transports,Non A/C Seater / Sleeper (2+1),22:15,06:30,08h 15m,601,16,4.0122,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
AdP K Travels,Non A/C Seater / Sleeper (2+1),18:45,05:15,10h 30m,650,23,3.86,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
SKS Tours & Travels,A/C Sleeper (2+1),21:15,05:45,08h 30m,899,21,4.362,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
MMK Travels,A/C Seater / Sleeper (2+1),22:30,07:30,09h 00m,750,17,4.4526,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 72,SWIFT-GARUDA A/C SEATER BUS,19:00,03:35,08h 35m,688,26,3.745,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 1583,Super Express Non AC Seater Air Bus (2+2),20:02,05:21,09h 19m,640,23,3.823,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 234,Swift Deluxe Non AC Air Bus (2+2),21:00,06:00,09h 00m,620,6,4.038,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 1584,Super Express Non AC Seater Air Bus (2+2),21:29,06:38,09h 09m,640,17,2.926,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 50,Swift Deluxe Non AC Air Bus (2+2),22:06,06:41,08h 35m,640,13,3.562,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 549,Super Express Non AC Seater Air Bus (2+2),22:15,06:13,07h 58m,640,9,1.732,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 96,Swift Deluxe Non AC Air Bus (2+2),23:05,07:30,08h 25m,567,2,2.231,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
DLT BUS,A/C Sleeper (2+1),21:45,06:30,08h 45m,950,10,4.431,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
P K Travels,A/C Seater / Sleeper (2+1),21:45,06:45,09h 00m,810,19,4.512,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
MMK Travels,A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,750,13,4.5563,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
AdSURAJ TRAVEL HOUSE,VE A/C Seater / Sleeper (2+1),20:45,06:00,09h 15m,600,19,3.6166,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
